
> ankhoptics-temp@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.19.48.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 4.5s
 GET / 200 in 4.7s (compile: 1623ms, render: 3.1s)
⚠ Cross origin request detected from steady-writings-medicare-mariah.trycloudflare.com to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET / 200 in 226ms (compile: 4ms, render: 223ms)
 GET /api/auth/session 200 in 50ms (compile: 16ms, render: 34ms)
 GET /products/amber-gold-gold-series-magic-eye 200 in 40ms (compile: 13ms, render: 28ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 36ms (compile: 14ms, render: 23ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 25ms (compile: 4ms, render: 21ms)
 GET / 200 in 108ms (compile: 5ms, render: 104ms)
 GET /api/store/products?limit=8 200 in 36ms (compile: 5ms, render: 31ms)
 GET /api/settings/store 200 in 21ms (compile: 6ms, render: 14ms)
 GET /api/store/products?limit=8 200 in 34ms (compile: 6ms, render: 28ms)
 GET /api/settings/store 200 in 19ms (compile: 6ms, render: 13ms)
 GET / 200 in 225ms (compile: 3ms, render: 222ms)
 GET /api/store/brands 200 in 22ms (compile: 4ms, render: 18ms)
 GET /api/settings/store 200 in 17ms (compile: 4ms, render: 13ms)
 GET /api/store/colors-modalities 200 in 20ms (compile: 6ms, render: 14ms)
 GET /api/store/products?limit=8 200 in 25ms (compile: 8ms, render: 17ms)
 GET /api/auth/session 200 in 47ms (compile: 12ms, render: 34ms)
 GET /api/store/brands 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/settings/store 200 in 8ms (compile: 2ms, render: 6ms)
 GET /api/store/colors-modalities 200 in 8ms (compile: 2ms, render: 5ms)
 GET /api/store/brands 200 in 10ms (compile: 2ms, render: 7ms)
 GET /api/settings/store 200 in 10ms (compile: 4ms, render: 7ms)
 GET /api/settings/store 200 in 9ms (compile: 2ms, render: 6ms)
 GET /api/settings/store 200 in 8ms (compile: 2ms, render: 6ms)
 GET /api/settings/store 200 in 10ms (compile: 2ms, render: 8ms)
